sheet,obj_code,obj_code_name,txn_date,doc_type,doc_number,origin,post_date,ref_doc_number,org_doc_number,entry_description,doc_description,vendor,budget_amount,actuals_amount,encumbrance_amount
1101935 FY24,3590,R/M Services-Office Furniture & Equipmen,2024-03-14,PCDO,27221074,01,2024-03-14,,,"Paint, Pure Tung Oil, Orange Peel Oil","Procurement Card - 5745 / MCGHEE, ALEXANDER / 3737 / AMZN Mktp US RN6LU60V2 / $196.08",,0.0,196.08,0.0
1101935 FY24,3780,R/M Services-Other,2024-06-19,PCDO,28040101,01,2024-06-20,,,Supplies,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 44619 / THE HOME DEPOT #0486 / $81.56",,0.0,81.56,0.0
1101935 FY24,3880,Shipping & Handling,2024-02-20,PCDO,26987701,01,2024-02-20,,,Office and lab Reno Supplies SandH,"Procurement Card - 3322 / CANCER CENTER, ARIZONA / 4382589607001 / AMZN MKTP US / $577.92",,0.0,40.0,0.0
1101935 FY24,5230,Office Supplies,2024-04-30,PCDO,27640100,01,2024-04-30,,,office supplies- storage bins,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 23105 / AMZN Mktp US QK45I4KX3 / $1065.10",,0.0,1065.1,0.0
1101935 FY24,5230,Office Supplies,2024-05-02,PCDO,27596330,01,2024-05-02,,,office supplies- storage boxes,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 20135 / Amazon.com AG4TX44I3 / $78.24",,0.0,78.24,0.0
1101935 FY24,5260,R/M Supplies - Shop,2024-03-14,PCDO,27155406,01,2024-03-14,,,Amazon total,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 2567 / AMZN Mktp US RW1NM8SU1 / $441.80",,0.0,441.8,0.0
1101935 FY24,5270,R/M Supplies - Other,2024-03-14,PCDO,27249962,01,2024-03-14,,,Supplies for renovation,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 4608 / THE HOME DEPOT #0414 / $294.09",,0.0,294.09,0.0
1101935 FY24,5270,R/M Supplies - Other,,,27249963,01,2024-03-14,,,Supplies for renovation,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 4552 / AMZN Mktp US RN2AB1I82 / $522.01",,0.0,522.01,0.0
1101935 FY24,5270,R/M Supplies - Other,2024-03-22,PCDO,27287014,01,2024-03-22,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 5650 / AMZN Mktp US / $-55.01",,0.0,-55.01,0.0
1101935 FY24,5270,R/M Supplies - Other,2024-04-08,PCDO,27380726,01,2024-04-08,,,Supplies for lab remodel,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 8974 / THE HOME DEPOT #0414 / $702.37",,0.0,702.37,0.0
1101935 FY24,5270,R/M Supplies - Other,,,27391196,01,2024-04-08,,,Supplies for lab remodel,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 9730 / THE HOME DEPOT #0486 / $217.77",,0.0,217.77,0.0
1101935 FY24,5270,R/M Supplies - Other,2024-05-06,PCDO,27596331,01,2024-05-06,,,Isopropyl Alcohol,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 20459 / AMZN Mktp US 9C51L1J13 / $75.98",,0.0,75.98,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-02-27,PO,27100496,01,2024-02-27,745248,,SURPLUS SOLUTIONS LLC,Purchase Order - Alexander McGhee - Surplus Solutions LLC,SURPLUS SOLUTIONS LLC,0.0,0.0,300.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-02-29,PREQ,27131938,01,2024-02-29,745248,,SURPLUS SOLUTIONS LLC,PO: 745248 Vendor: SURPLUS SOLUTIONS LLC Amount: 21179.00,SURPLUS SOLUTIONS LLC,0.0,300.0,-300.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-03-22,PCDO,27249964,01,2024-03-22,,,Materials to refinish table tops in lab,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 4686 / FLINN SCIENTIFIC INC / $245.42",,0.0,245.42,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-04-10,PCDO,27380724,01,2024-04-10,,,Lab supplies (tax added to this amount),"Procurement Card - 5745 / MCGHEE, ALEXANDER / 9154 / AMZN Mktp US RH8H41D22 / $400.82",,0.0,300.87,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,,,27380725,01,2024-04-10,,,Lab supplies (tax added to this amount),"Procurement Card - 5745 / MCGHEE, ALEXANDER / 8594 / AMZN Mktp US RA4UM9CP2 / $2573.06",,0.0,1344.99,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-04-30,PCDO,27611298,01,2024-04-30,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 22023 / DRILLSANDCUTTERS.COM / $42.89",,0.0,34.9,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,,,,,,,,Use Tax 5.600% on 34.90,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 22023 / DRILLSANDCUTTERS.COM / $42.89",,0.0,1.95,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,,,27640099,01,2024-04-30,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 22682 / MCMASTER-CARR / $253.36",,0.0,243.38,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-05-13,PCDO,27742893,01,2024-05-13,,,Syringes,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 28899 / HAMILTON COMPANY / $1904.17",,0.0,1887.9,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-05-15,PCDO,27831683,01,2024-05-15,,,Supplies for McGhee Lab (syringes),"Procurement Card - 5745 / MCGHEE, ALEXANDER / 34019 / HAMILTON COMPANY / $149.27",,0.0,134.85,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,,PO,27829653,01,2024-05-15,756761,,UNCHAINED LABS LLC,Purchase Order - Alexander Mcghee - Dolomite,UNCHAINED LABS LLC,0.0,0.0,3590.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-05-24,PCDO,27900007,01,2024-05-24,,,Supplies for Mcghee Lab,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 37796 / AMZN Mktp US 0Q3MH8YA3 / $303.44",,0.0,303.44,0.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-06-19,PREQ,28192433,01,2024-06-20,756761,,UNCHAINED LABS LLC,PO: 756761 Vendor: UNCHAINED LABS LLC Amount: 3622.56,UNCHAINED LABS LLC,0.0,3622.56,-3590.0
1101935 FY24,5290,Research Supplies/Medical - Laboratory,2024-06-23,PCDO,28053244,01,2024-06-24,,,48 well plates,Procurement Card - Auto Approve 06/23/2024 12:51 AM / 45149 / AURITA BIOTECH / $3300.00,,0.0,3300.0,0.0
1101935 FY24,5490,Operating Supplies - Other,2024-02-20,PCDO,26912771,01,2024-02-20,,,Butcher block counter tops,"Procurement Card - 0522 / PALSSON, ERIKA / 4375217472001 / AMAZON.COM*R275J2BJ2 / $1430.94",,0.0,1430.94,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26912772,01,2024-02-20,,,Metal table legs for office and lab reno,"Procurement Card - 0522 / PALSSON, ERIKA / 4375217473001 / AMZN MKTP US / $208.68",,0.0,208.68,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26912773,01,2024-02-20,,,Supplies to reno lab and office,"Procurement Card - 0522 / PALSSON, ERIKA / 4375217474001 / AMZN MKTP US / $1432.40",,0.0,1432.4,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26912774,01,2024-02-20,,,Lab and office renovation supplies,"Procurement Card - 0522 / PALSSON, ERIKA / 4375217470001 / AMZN MKTP US / $958.74",,0.0,958.74,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26912775,01,2024-02-20,,,Tyvek Coverall,"Procurement Card - 0522 / PALSSON, ERIKA / 4375217471001 / AMZN MKTP US / $24.78",,0.0,24.78,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26987700,01,2024-02-20,,,Office and lab Reno supplies,"Procurement Card - 3322 / CANCER CENTER, ARIZONA / 4382589606001 / AMAZON.COM*RI2LA33V0 / $3759.70",,0.0,3759.7,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26987701,01,2024-02-20,,,Office and lab Reno supplies,"Procurement Card - 3322 / CANCER CENTER, ARIZONA / 4382589607001 / AMZN MKTP US / $577.92",,0.0,537.92,0.0
1101935 FY24,5490,Operating Supplies - Other,2024-02-22,PCDO,26952735,01,2024-02-22,,,Wood Butcher Block Countertop,"Procurement Card - 3322 / CANCER CENTER, ARIZONA / 4379884221001 / AMAZON.COM*RB0RJ50V2 / $476.98",,0.0,476.98,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26954123,01,2024-02-22,,,Floating Shelf Bracket (x10),"Procurement Card - 3322 / CANCER CENTER, ARIZONA / 4381272298001 / AMZN MKTP US / $1597.90",,0.0,1597.9,0.0
1101935 FY24,5490,Operating Supplies - Other,,,26954124,01,2024-02-22,,,Outlet Surge Protector Power Strip (x2),"Procurement Card - 3322 / CANCER CENTER, ARIZONA / 4381272297001 / AMZN MKTP US / $125.18",,0.0,125.18,0.0
1101935 FY24,5490,Operating Supplies - Other,2024-02-28,PCDO,27025573,01,2024-02-28,,,5 lab stool chairs @ 105.99 each,"Procurement Card - 0522 / PALSSON, ERIKA / 4388470110001 / AMZN MKTP US / $576.05",,0.0,576.05,0.0
1101935 FY24,5490,Operating Supplies - Other,,,27053057,01,2024-02-28,,,lab and office renovation,"Procurement Card - 0522 / PALSSON, ERIKA / 4390077399001 / AMZN MKTP US / $576.04",,0.0,576.04,0.0
1101935 FY24,5520,Conference Registration Fees,2024-05-09,DVCA,27617327,01,2024-05-09,,T41561,Event Registration &amp; Event Dinner,Disbursement Voucher T - Travel Expense - Alexander Mcghee - Florida [E:N],,0.0,350.0,0.0
1101935 FY24,5520,Conference Registration Fees,2024-05-13,PCDO,27742892,01,2024-05-13,,,Non member registration,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 28951 / SOC FOR EXPER MECH / $1050.00",,0.0,1050.0,0.0
1101935 FY24,5535,Purchasing Transaction Fees,2024-03-22,PCDO,27185986,01,2024-03-22,,,Processing,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 2942 / CK SURPLUS SOLUTIONS / $1879.75",,0.0,54.75,0.0
1101935 FY24,5560,Freight In/Out - (Noncapital related),2024-02-06,PO,26787321,01,2024-02-06,740334,,FORMLABS,Purchase Order - Alexander McGhee - FormLabs,FORMLABS,0.0,0.0,92.3
1101935 FY24,5560,Freight In/Out - (Noncapital related),2024-02-15,PREQ,27001315,01,2024-02-15,740334,,FORMLABS,PO: 740334 Vendor: FORMLABS Amount: 9460.17,FORMLABS,0.0,97.75,-92.3
1101935 FY24,5560,Freight In/Out - (Noncapital related),2024-04-30,PCDO,27611298,01,2024-04-30,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 22023 / DRILLSANDCUTTERS.COM / $42.89",,0.0,7.99,0.0
1101935 FY24,5560,Freight In/Out - (Noncapital related),,,27640099,01,2024-04-30,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 22682 / MCMASTER-CARR / $253.36",,0.0,9.98,0.0
1101935 FY24,5560,Freight In/Out - (Noncapital related),,PO,27618811,01,2024-04-30,753373,,FISHER SCIENTIFIC COMPANY LLC,Purchase Order - Alexander McGhee - Fisher Scientific,FISHER SCIENTIFIC COMPANY LLC,0.0,0.0,900.0
1101935 FY24,5560,Freight In/Out - (Noncapital related),2024-05-13,PCDO,27742893,01,2024-05-13,,,Fright costs,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 28899 / HAMILTON COMPANY / $1904.17",,0.0,16.27,0.0
1101935 FY24,5560,Freight In/Out - (Noncapital related),2024-05-15,PCDO,27831683,01,2024-05-15,,,Shipping cost,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 34019 / HAMILTON COMPANY / $149.27",,0.0,14.42,0.0
1101935 FY24,5560,Freight In/Out - (Noncapital related),2024-06-14,PRNC,28152614,01,2024-06-14,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 16928.75 Pay Date: 07/02/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,900.0,-900.0
1101935 FY24,5760,Noncapitalized Equipment - EDP,2024-02-21,DVCA,26968150,01,2024-02-21,,,Apple,Disbursement Voucher E - Expense Reimbursement - Alexander McGhee - Apple [E:N],,0.0,5540.43,0.0
1101935 FY24,5760,Noncapitalized Equipment - EDP,2024-04-10,PCDO,27380725,01,2024-04-10,,,Wifi adapter,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 8594 / AMZN Mktp US RA4UM9CP2 / $2573.06",,0.0,9.99,0.0
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-02-06,PO,26787321,01,2024-02-06,740334,,FORMLABS,Purchase Order - Alexander McGhee - FormLabs,FORMLABS,0.0,0.0,9510.33
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-02-15,PREQ,27001315,01,2024-02-15,740334,,FORMLABS,PO: 740334 Vendor: FORMLABS Amount: 9460.17,FORMLABS,0.0,9362.42,-9141.79
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-04-01,PO,27400501,01,2024-04-01,749977,,DINGS MOTION USA LLC,Purchase Order - Alexander McGhee - Dings Motion,DINGS MOTION USA LLC,0.0,0.0,4272.16
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-04-10,PCDO,27380724,01,2024-04-10,,,OXO Coffee Grinder,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 9154 / AMZN Mktp US RH8H41D22 / $400.82",,0.0,99.95,0.0
1101935 FY24,5770,Noncapitalized Equipment - Other,,,27380725,01,2024-04-10,,,Siglent tech,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 8594 / AMZN Mktp US RA4UM9CP2 / $2573.06",,0.0,1218.08,0.0
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-04-30,PO,27618811,01,2024-04-30,753373,,FISHER SCIENTIFIC COMPANY LLC,Purchase Order - Alexander McGhee - Fisher Scientific,FISHER SCIENTIFIC COMPANY LLC,0.0,0.0,33895.49
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-05-24,PRNC,27932996,01,2024-05-24,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 3284.08 Pay Date: 06/04/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,3284.08,-3284.08
1101935 FY24,5770,Noncapitalized Equipment - Other,,,27933695,01,2024-05-24,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 11670.99 Pay Date: 06/03/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,11670.99,-11670.99
1101935 FY24,5770,Noncapitalized Equipment - Other,,,27936155,01,2024-05-24,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 902.24 Pay Date: 06/05/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,902.24,-902.24
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-05-25,PRNC,27939663,01,2024-05-28,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 10319.73 Pay Date: 06/08/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,596.88,-596.88
1101935 FY24,5770,Noncapitalized Equipment - Other,,,27940050,01,2024-05-28,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 2522.37 Pay Date: 06/09/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,2522.37,-2522.37
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-05-29,PREQ,27951933,01,2024-05-29,740334,,FORMLABS,PO: 740334 Vendor: FORMLABS Amount: 379.36,FORMLABS,0.0,379.36,-368.54
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-06-04,PRNC,28030362,01,2024-06-04,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 931.84 Pay Date: 06/12/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,931.84,-931.84
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-06-05,PREQ,28043696,01,2024-06-05,749977,,DINGS MOTION USA LLC,PO: 749977 Vendor: DINGS MOTION USA LLC Amount: 4456.19,DINGS MOTION USA LLC,0.0,4456.19,-4272.16
1101935 FY24,5770,Noncapitalized Equipment - Other,,PRNC,28048004,01,2024-06-05,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 721.42 Pay Date: 06/17/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,721.42,-721.42
1101935 FY24,5770,Noncapitalized Equipment - Other,,,28048711,01,2024-06-05,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 2431.51 Pay Date: 06/16/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,2431.51,-2431.51
1101935 FY24,5770,Noncapitalized Equipment - Other,,,28048798,01,2024-06-05,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 1275.12 Pay Date: 06/23/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,1275.12,-1275.12
1101935 FY24,5770,Noncapitalized Equipment - Other,,,28048814,01,2024-06-05,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 651.67 Pay Date: 06/25/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,651.67,-651.67
1101935 FY24,5770,Noncapitalized Equipment - Other,,,28048840,01,2024-06-05,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 18300.84 Pay Date: 06/26/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,2712.7,-2712.7
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-06-14,PRNC,28152642,01,2024-06-14,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 23796.86 Pay Date: 07/07/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,4915.82,-4915.82
1101935 FY24,5770,Noncapitalized Equipment - Other,,,28152679,01,2024-06-14,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 0.01 Pay Date: 07/09/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,0.01,-0.01
1101935 FY24,5770,Noncapitalized Equipment - Other,2024-06-28,PRNC,28300122,01,2024-06-28,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 943.60 Pay Date: 07/23/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,943.6,-795.64
1101935 FY24,5775,Noncapitalized Furnishings,2024-03-14,PCDO,27155407,01,2024-03-14,,,refrigerator,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 2475 / AMAZON.COM RW9DA72D1 / $250.87",,0.0,250.87,0.0
1101935 FY24,5775,Noncapitalized Furnishings,,,27222751,01,2024-03-14,,,Floating Shelf,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 4010 / AMZN Mktp US R67LS24W0 / $309.80",,0.0,309.8,0.0
1101935 FY24,5775,Noncapitalized Furnishings,2024-03-22,PCDO,27185986,01,2024-03-22,,,Renovations,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 2942 / CK SURPLUS SOLUTIONS / $1879.75",,0.0,1825.0,0.0
1101935 FY24,5775,Noncapitalized Furnishings,,,27272857,01,2024-03-22,,,Table legs,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 5084 / AMZN Mktp US RN5AY3Q71 / $72.27",,0.0,72.27,0.0
1101935 FY24,5780,Miscellaneous - Other Operating,2024-04-30,PCDO,27611297,01,2024-04-30,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 22097 / AMZN Mktp US FI5V21PS3 / $203.81",,0.0,203.81,0.0
1101935 FY24,5780,Miscellaneous - Other Operating,2024-05-02,PCDO,27584552,01,2024-05-02,,,Air Purifier,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 19543 / MACYS MARKETPLACE / $541.33",,0.0,541.33,0.0
1101935 FY24,5780,Miscellaneous - Other Operating,,,27609764,01,2024-05-02,,,"5745 / MCGHEE, ALEXANDER","Procurement Card - 5745 / MCGHEE, ALEXANDER / 21182 / ACE HDWE / $43.43",,0.0,43.43,0.0
1101935 FY24,6240,TRAVEL-OUT STATE,2024-05-09,DVCA,27617327,01,2024-05-09,,T41561,Meals and Transportation,Disbursement Voucher T - Travel Expense - Alexander Mcghee - Florida [E:N],,0.0,142.27,0.0
1101935 FY24,6241,TRAVEL-OUT OF STATE AIRLINES,2024-05-09,DVCA,27617327,01,2024-05-09,,T41561,flight costs,Disbursement Voucher T - Travel Expense - Alexander Mcghee - Florida [E:N],,0.0,918.2,0.0
1101935 FY24,6241,TRAVEL-OUT OF STATE AIRLINES,2024-05-24,PCDO,27913782,01,2024-05-24,,,Round trip ticket,"Procurement Card - 5745 / MCGHEE, ALEXANDER / 38832 / DELTA AIR 0062237104896 / $480.95",,0.0,480.95,0.0
1101935 FY24,6242,TRAVEL-OUT STATE HOTEL,2024-05-09,DVCA,27617327,01,2024-05-09,,T41561,Lodging-Marriott,Disbursement Voucher T - Travel Expense - Alexander Mcghee - Florida [E:N],,0.0,847.86,0.0
1101935 FY24,7690,Scientific Equipment,2024-02-27,PO,27100496,01,2024-02-27,745248,,SURPLUS SOLUTIONS LLC,Purchase Order - Alexander McGhee - Surplus Solutions LLC,SURPLUS SOLUTIONS LLC,0.0,0.0,20879.0
1101935 FY24,7690,Scientific Equipment,2024-02-29,PREQ,27131938,01,2024-02-29,745248,,SURPLUS SOLUTIONS LLC,PO: 745248 Vendor: SURPLUS SOLUTIONS LLC Amount: 21179.00,SURPLUS SOLUTIONS LLC,0.0,20879.0,-20879.0
1101935 FY24,7690,Scientific Equipment,2024-03-06,GEC,27176726,01,2024-03-06,,,01-27111175: BOSTON INDUSTRIES INC,General Error Correction - Alexander McGhee Lab Equipment,,0.0,28805.0,0.0
1101935 FY24,7690,Scientific Equipment,2024-03-29,PO,27375160,01,2024-03-29,749517,,NIKON INSTRUMENTS INC,Purchase Order - Alexander McGhee - Nikon,NIKON INSTRUMENTS INC,0.0,0.0,220233.87
1101935 FY24,7690,Scientific Equipment,2024-04-30,PO,27618811,01,2024-04-30,753373,,FISHER SCIENTIFIC COMPANY LLC,Purchase Order - Alexander McGhee - Fisher Scientific,FISHER SCIENTIFIC COMPANY LLC,0.0,0.0,87300.74
1101935 FY24,7690,Scientific Equipment,2024-05-25,PRNC,27939663,01,2024-05-28,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 10319.73 Pay Date: 06/08/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,9722.85,-9722.85
1101935 FY24,7690,Scientific Equipment,2024-06-05,PRNC,28048840,01,2024-06-05,753373,,FISHER SCIENTIFIC COMPANY LLC,PO: 753373 Vendor: FISHER SCIENTIFIC COMPANY LLC Account: UA 1101935 Amount: 18300.84 Pay Date: 06/26/2024,FISHER SCIENTIFIC COMPANY LLC,0.0,15588.14,-15588.14
